Statistical profiling result from isolate-0x2f10e60-v8.log, (1174 ticks, 26 unaccounted, 0 excluded).

 [Shared libraries]:
   ticks  total  nonlib   name
     74    6.3%          /lib/x86_64-linux-gnu/libpthread-2.23.so
      4    0.3%          /lib/x86_64-linux-gnu/libc-2.23.so
      1    0.1%          /usr/lib/x86_64-linux-gnu/libstdc++.so.6.0.21
      1    0.1%          /lib/x86_64-linux-gnu/ld-2.23.so

 [JavaScript]:
   ticks  total  nonlib   name
    104    8.9%    9.5%  LazyCompile: *DoJoin native array.js:94:16
     95    8.1%    8.7%  Builtin: ToString
     90    7.7%    8.2%  LazyCompile: *ConvertToString native array.js:132:25
     53    4.5%    4.8%  Builtin: GrowFastSmiOrObjectElements
     51    4.3%    4.7%  Stub: InternalArraySingleArgumentConstructorStub
     15    1.3%    1.4%  LazyCompile: ~ConvertToString native array.js:132:25
     12    1.0%    1.1%  Builtin: InterpreterEntryTrampoline
      8    0.7%    0.7%  Builtin: StringEqual
      8    0.7%    0.7%  Builtin: FastArrayPush
      5    0.4%    0.5%  LazyCompile: ~formatValue util.js:400:21
      4    0.3%    0.4%  LazyCompile: ~formatProperty util.js:832:24
      3    0.3%    0.3%  Builtin: CallFunction_ReceiverIsAny
      2    0.2%    0.2%  LazyCompile: ~strEscape util.js:113:19
      2    0.2%    0.2%  LazyCompile: ~parse /home/mcfinley/projects/current/zen-parser/lib/parser/parse.js:60:15
      2    0.2%    0.2%  LazyCompile: ~getConstructorOf internal/util.js:186:26
      2    0.2%    0.2%  LazyCompile: ~find.resolve.rule /home/mcfinley/projects/current/zen-parser/lib/parser/parse.js:31:64
      2    0.2%    0.2%  LazyCompile: ~InnerArrayJoin native array.js:274:24
      2    0.2%    0.2%  Builtin: StringGreaterThan
      2    0.2%    0.2%  Builtin: ArrayIndexOf
      1    0.1%    0.1%  StoreIC: A store IC from the snapshot
      1    0.1%    0.1%  RegExp: ^(\\))
      1    0.1%    0.1%  LazyCompile: ~rule /home/mcfinley/projects/current/zen-parser/lib/parser/parse.js:31:17
      1    0.1%    0.1%  LazyCompile: ~resolve /home/mcfinley/projects/current/zen-parser/lib/helpers/Maybe.js:34:10
      1    0.1%    0.1%  LazyCompile: ~repeat native string.js:91:7
      1    0.1%    0.1%  LazyCompile: ~regExpMatch /home/mcfinley/projects/current/zen-parser/lib/Lexer.js:8:21
      1    0.1%    0.1%  LazyCompile: ~reduceToSingleString util.js:868:30
      1    0.1%    0.1%  LazyCompile: ~match /home/mcfinley/projects/current/zen-parser/examples/calc.js:12:31
      1    0.1%    0.1%  LazyCompile: ~machines.sort /home/mcfinley/projects/current/zen-parser/lib/parser/parse.js:74:32
      1    0.1%    0.1%  LazyCompile: ~join native array.js:287:46
      1    0.1%    0.1%  LazyCompile: ~getMatch /home/mcfinley/projects/current/zen-parser/lib/Lexer.js:10:18
      1    0.1%    0.1%  LazyCompile: ~formatArray util.js:726:21
      1    0.1%    0.1%  LazyCompile: ~equal /home/mcfinley/projects/current/zen-parser/lib/helpers/rich.js:50:15
      1    0.1%    0.1%  LazyCompile: ~doesRegExpMatch /home/mcfinley/projects/current/zen-parser/lib/Lexer.js:9:25
      1    0.1%    0.1%  LazyCompile: ~createTable /home/mcfinley/projects/current/zen-parser/lib/parser/create-table.js:90:21
      1    0.1%    0.1%  LazyCompile: ~burnMachine /home/mcfinley/projects/current/zen-parser/lib/parser/parse.js:21:21
      1    0.1%    0.1%  LazyCompile: ~UseSparseVariant native array.js:61:26
      1    0.1%    0.1%  LazyCompile: ~StackHas native array.js:85:18
      1    0.1%    0.1%  LazyCompile: ~Join native array.js:119:14
      1    0.1%    0.1%  LazyCompile: ~InsertionSort native array.js:542:23
      1    0.1%    0.1%  LazyCompile: ~Array.all /home/mcfinley/projects/current/zen-parser/lib/helpers/rich.js:95:32
      1    0.1%    0.1%  LazyCompile: *rule /home/mcfinley/projects/current/zen-parser/lib/parser/parse.js:31:17
      1    0.1%    0.1%  LazyCompile: *repeat native string.js:91:7
      1    0.1%    0.1%  LazyCompile: *reduceToSingleString util.js:868:30
      1    0.1%    0.1%  KeyedLoadIC: A keyed load IC from the snapshot
      1    0.1%    0.1%  Builtin: StringLessThan
      1    0.1%    0.1%  Builtin: KeyedStoreIC_Megamorphic_Strict
      1    0.1%    0.1%  Builtin: KeyedLoadIC_Megamorphic
      1    0.1%    0.1%  Builtin: CompileLazy
      1    0.1%    0.1%  Builtin: Call_ReceiverIsNullOrUndefined
      1    0.1%    0.1%  Builtin: ArgumentsAdaptorTrampoline

 [C++]:
   ticks  total  nonlib   name
    143   12.2%   13.1%  void v8::internal::String::WriteToFlat<unsigned char>(v8::internal::String*, unsigned char*, int, int)
    128   10.9%   11.7%  v8::internal::Runtime_StringBuilderConcat(int, v8::internal::Object**, v8::internal::Isolate*)
     78    6.6%    7.1%  v8::internal::(anonymous namespace)::CopyObjectToObjectElements(v8::internal::FixedArrayBase*, v8::internal::ElementsKind, unsigned int, v8::internal::FixedArrayBase*, v8::internal::ElementsKind, unsigned int, int)
     46    3.9%    4.2%  v8::internal::Heap::AllocateFixedArrayWithFiller(int, v8::internal::PretenureFlag, v8::internal::Object*)
     40    3.4%    3.7%  void node::StreamBase::JSMethod<node::LibuvStreamWrap, &(int node::StreamBase::WriteString<(node::encoding)1>(v8::FunctionCallbackInfo<v8::Value> const&))>(v8::FunctionCallbackInfo<v8::Value> const&)
     28    2.4%    2.6%  node::(anonymous namespace)::ContextifyScript::New(v8::FunctionCallbackInfo<v8::Value> const&)
     13    1.1%    1.2%  syscall
      6    0.5%    0.5%  v8::internal::IncrementalMarking::Step(unsigned long, v8::internal::IncrementalMarking::CompletionAction, v8::internal::IncrementalMarking::ForceCompletionAction, v8::internal::StepOrigin)
      5    0.4%    0.5%  do_futex_wait.constprop.3
      4    0.3%    0.4%  v8::internal::Scavenger::ScavengeObject(v8::internal::HeapObject**, v8::internal::HeapObject*)
      4    0.3%    0.4%  v8::internal::Builtin_Impl_ArraySlice(v8::internal::BuiltinArguments, v8::internal::Isolate*)
      4    0.3%    0.4%  v8::internal::Bitmap::Clear()
      3    0.3%    0.3%  v8::internal::SemiSpace::FixPagesFlags(long, long)
      3    0.3%    0.3%  v8::internal::Scavenger::Process(v8::internal::Scavenger::Barrier*)
      2    0.2%    0.2%  v8::internal::ScavengeWeakObjectRetainer::RetainAs(v8::internal::Object*)
      2    0.2%    0.2%  v8::internal::PageScavengingItem::Process(v8::internal::Scavenger*)
      2    0.2%    0.2%  v8::internal::NewSpace::UpdateAllocationInfo()
      2    0.2%    0.2%  v8::internal::IncrementalMarking::WhiteToGreyAndPush(v8::internal::HeapObject*)
      2    0.2%    0.2%  v8::internal::Heap::Scavenge()
      2    0.2%    0.2%  v8::internal::Heap::AllocateRaw(int, v8::internal::AllocationSpace, v8::internal::AllocationAlignment)
      2    0.2%    0.2%  node::Binding(v8::FunctionCallbackInfo<v8::Value> const&)
      1    0.1%    0.1%  vsnprintf
      1    0.1%    0.1%  void v8::internal::BodyDescriptorBase::IteratePointers<v8::internal::IncrementalMarkingMarkingVisitor>(v8::internal::HeapObject*, int, int, v8::internal::IncrementalMarkingMarkingVisitor*)
      1    0.1%    0.1%  v8::internal::interpreter::BytecodeRegisterOptimizer::RegisterTransfer(v8::internal::interpreter::BytecodeRegisterOptimizer::RegisterInfo*, v8::internal::interpreter::BytecodeRegisterOptimizer::RegisterInfo*)
      1    0.1%    0.1%  v8::internal::interpreter::BytecodeGenerator::VisitForAccumulatorValue(v8::internal::Expression*)
      1    0.1%    0.1%  v8::internal::interpreter::BytecodeGenerator::BuildVariableLoad(v8::internal::Variable*, v8::internal::FeedbackSlot, v8::internal::HoleCheckMode, v8::internal::TypeofMode)
      1    0.1%    0.1%  v8::internal::compiler::TypedOptimization::Reduce(v8::internal::compiler::Node*)
      1    0.1%    0.1%  v8::internal::compiler::JSTypedLowering::ReduceJSLoadContext(v8::internal::compiler::Node*)
      1    0.1%    0.1%  v8::internal::compiler::JSCreateLowering::Reduce(v8::internal::compiler::Node*)
      1    0.1%    0.1%  v8::internal::compiler::GraphReducer::Reduce(v8::internal::compiler::Node*)
      1    0.1%    0.1%  v8::internal::VariableProxy::VariableProxy(v8::internal::Variable*, int)
      1    0.1%    0.1%  v8::internal::Space::AllocationStep(unsigned char*, int)
      1    0.1%    0.1%  v8::internal::Scavenger::EvacuateShortcutCandidate(v8::internal::Map*, v8::internal::HeapObject**, v8::internal::ConsString*, int)
      1    0.1%    0.1%  v8::internal::Scanner::Next()
      1    0.1%    0.1%  v8::internal::Runtime_EstimateNumberOfElements(int, v8::internal::Object**, v8::internal::Isolate*)
      1    0.1%    0.1%  v8::internal::RootScavengeVisitor::VisitRootPointers(v8::internal::Root, v8::internal::Object**, v8::internal::Object**)
      1    0.1%    0.1%  v8::internal::RootScavengeVisitor::VisitRootPointer(v8::internal::Root, v8::internal::Object**)
      1    0.1%    0.1%  v8::internal::RegExpParser::Advance()
      1    0.1%    0.1%  v8::internal::RecordMigratedSlotVisitor::RecordMigratedSlot(v8::internal::HeapObject*, v8::internal::Object*, unsigned char*)
      1    0.1%    0.1%  v8::internal::ParserBase<v8::internal::PreParser>::ParseConditionalExpression(bool, bool*)
      1    0.1%    0.1%  v8::internal::ParserBase<v8::internal::Parser>::ParseConditionalExpression(bool, bool*)
      1    0.1%    0.1%  v8::internal::Object* v8::internal::VisitWeakList<v8::internal::JSFunction>(v8::internal::Heap*, v8::internal::Object*, v8::internal::WeakObjectRetainer*)
      1    0.1%    0.1%  v8::internal::MemoryChunk::Initialize(v8::internal::Heap*, unsigned char*, unsigned long, unsigned char*, unsigned char*, v8::internal::Executability, v8::internal::Space*, v8::base::VirtualMemory*)
      1    0.1%    0.1%  v8::internal::MapUpdater::BuildDescriptorArray()
      1    0.1%    0.1%  v8::internal::LookupIterator::PropertyOrElement(v8::internal::Isolate*, v8::internal::Handle<v8::internal::Object>, v8::internal::Handle<v8::internal::Object>, bool*, v8::internal::LookupIterator::Configuration)
